Numero_Parada,UTM_X,UTM_Y,Longitud,Latitud
153.0,467591.994999999,4380296.063,2.6226829961507576,39.57175600026112
154.0,467892.011999999,4380212.01599999,2.626180004007709,39.57101000171326
155.0,468109.009,4380157.06799999,2.628709001062071,39.57052300374054
156.0,468388.041,4380148.041,2.6319579991674638,39.57045200132348
157.0,467504.038,4378742.985,2.621734995998732,39.55775899729928
158.0,467399.021999999,4378632.99799999,2.62051799629481,39.556763997169874
159.0,467390.02,4378515.05999999,2.620419005239872,39.55570099873444
160.0,467186.038999999,4378590.06099999,2.618041004314384,39.55636900127452
161.0,467041.994999999,4378738.06099999,2.616357001558268,39.55769700199746
162.0,466782.967999999,4378776.01699999,2.613339999714486,39.558029004722144
163.0,466486.21761317,4378985.51677242,2.6098752021722555,39.55990511331891
164.0,466256.003,4379071.96399999,2.6071910016666027,39.56067500037375
165.0,467015.995999999,4380475.96499999,2.615968003485923,39.573354998559616
166.0,467320.993,4378770.05999999,2.6196029959558884,39.55799599689288
167.0,466263.977,4378852.069,2.607294997581871,39.55869399931835
168.0,466260.037,4378894.03899999,2.6072470020926586,39.55907200569734
169.0,478615.994999999,4374728.973,2.7512099997550528,39.521940004522214
170.0,466268.978,4379053.04,2.6073429999467104,39.5605050003097
171.0,466513.974999999,4378951.978,2.610200002939254,39.55960400374593
172.0,466805.961999999,4378769.03699999,2.613608002631633,39.557967003069415
173.0,467032.973999999,4378737.98799999,2.6162519997178895,39.55769599758572
174.0,467219.953399926,4378550.37339154,2.6184377235541207,39.556012700927646
175.0,467419.016,4378505.05999999,2.6207570031187344,39.55561199754318
176.0,467407.966,4378635.069,2.6206220024755917,39.55678299736535
177.0,467536.972999999,4378729.973,2.622118999918754,39.55764300242647
182.0,472756.957999999,4382248.97099999,2.6827359949593537,39.58953200242031
183.0,472520.224799961,4382143.07465441,2.679983503422211,39.58857028445095
184.0,472351.395665967,4381981.3738016,2.678024171574835,39.58710787968603
185.0,472123.972999999,4381739.03899999,2.675385998431635,39.58491700140119
187.0,471951.825563006,4381522.08504136,2.67339056318183,39.58295656306597
188.0,472160.96,4381183.98599999,2.675840003390848,39.57991700490066
189.0,471793.984999999,4380972.006,2.671575997365552,39.5779950011585
191.0,471483.038999999,4380797.01599999,2.6679629972138263,39.57640799847445
192.0,471231.032,4380654.00499999,2.6650350046648055,39.57511100444052
193.0,471113.977,4380587.962,2.6636749987888715,39.57451200021535
195.0,470482.02,4380456.06099999,2.6563230048165365,39.57330200487074
196.0,479731.005999999,4375332.04499999,2.7641639946423133,39.52740100286595
197.0,469562.739830342,4380801.72342585,2.645604182396425,39.57638437930045
198.0,469400.972999999,4380794.996,2.6437209969630535,39.576318004028394
199.0,469503.194431444,4380797.65720054,2.6449110657950596,39.57634562504766
200.0,471564.021,4386549.042,2.6686590051647725,39.62823800400332
202.0,478446.984999999,4374318.031,2.74925700243533,39.518233001836926
203.0,469264.972,4380482.00499999,2.6421520022836065,39.573492999210316
205.0,469520.010999999,4380772.99399999,2.645107998860704,39.576124000587406
206.0,469563.817514466,4380775.79858218,2.64561791965071,39.576150827204486
209.0,471122.957999999,4380578.05099999,2.6637799958488917,39.57442300160679
210.0,471245.005,4380646.961,2.665197998854772,39.57504800463344
211.0,471503.988,4380795.052,2.668206997251607,39.5763909988891
213.0,471799.5,4380960.7,2.6716406923755787,39.57789331203457
214.0,472198.978,4381247.997,2.6762799981766925,39.58049499802578
215.0,472036.890310802,4381461.44097767,2.6743836492802098,39.58241292123233
216.0,472245.984999999,4381567.018,2.6768139966326,39.58337099971799
217.0,478650.043,4373797.961,2.751636001254734,39.5135519968701
219.0,470305.989999999,4380735.97099999,2.654260998940622,39.57581799918685
220.0,469110.649695075,4380466.97344936,2.640355960345111,39.57335201403331
221.0,468852.022999999,4380719.057,2.6373329962177445,39.57561400094652
222.0,468584.021999999,4380901.047,2.634204005550375,39.57724400161607
223.0,468368.972999999,4380987.04999999,2.6316960020088853,39.57801100358744
224.0,468054.967,4381088.006,2.6280350021668855,39.57890899922615
225.0,467880.972,4381171.966,2.626004995116426,39.57965899869871
226.0,467438.58099624,4381565.49155781,2.6208345637101598,39.58318807285549
227.0,467138.032,4381844.996,2.6173210051279896,39.58569500539742
228.0,466951.984999999,4382016.04,2.6151460001947355,39.58722899855529
229.0,466770.990999999,4382142.008,2.613032002450065,39.58835700063023
230.0,466572.016999999,4382259.06799999,2.610709000782193,39.589403999232665
231.0,466253.977,4382363.002,2.607000004953087,39.59032800120885
232.0,465489.012999999,4382374.042,2.5980910032727844,39.59039700295504
233.0,465195.038999999,4382479.02199999,2.594662000873684,39.59133100357086
234.0,465200.998,4382658.014,2.5947220005632636,39.59294400153318
236.0,465501.009,4382349.01699999,2.598232005759903,39.59017200533837
237.0,466249.021,4382349.04,2.606943000425869,39.590202005182036
238.0,466683.038,4382196.99199999,2.6120050056998463,39.58884900407346
240.0,467086.977,4381895.04499999,2.6167239955895014,39.5861439997643
241.0,467466.965,4381505.98699999,2.6211679971706188,39.58265299958634
242.0,467828.004,4381176.95899999,2.6253880041774273,39.579702000394924
243.0,468071.005,4381061.96999999,2.628222996784778,39.57867500545341
244.0,468348.656849185,4380913.59116978,2.6314629555092397,39.5773483694593
245.0,468487.005,4380699.007,2.633083995260728,39.57542000393042
246.0,468602.974999999,4380535.05499999,2.634442004950309,39.57394700563406
247.0,468830.982,4380463.989,2.637099996652085,39.57331500091059
248.0,479063.011999999,4373480.979,2.7564500002243366,39.51070600022104
250.0,470440.984999999,4381404.02199999,2.6558030001156183,39.5818420019472
251.0,470606.007999999,4381754.99,2.6577090044650253,39.58501000131304
256.0,471467.967999999,4382435.974,2.6677170005686404,39.59117499904079
259.0,478932.961999999,4373424.065,2.7549390050819973,39.510189998678044
261.0,479207.005999999,4373769.03299999,2.7581159995257005,39.51330500249947
263.0,471257.089270385,4384545.99080261,2.6651696169422676,39.61017977284942
266.0,472161.012999999,4384127.064,2.67571700514394,39.60643499855824
267.0,472246.032999999,4383992.023,2.676713005726586,39.6052210021438
268.0,472408.961999999,4384084.0,2.6786069949793285,39.60605500530819
269.0,472436.962999999,4384328.065,2.6789230018977204,39.608254999347345
270.0,472246.017999999,4384680.01599999,2.676684000348232,39.61142000378725
271.0,472368.996999999,4384430.96899999,2.678126996352067,39.609180001571445
272.0,472367.027999999,4384024.995,2.6781209973792204,39.6055220018818
273.0,472256.031,4384002.974,2.6768290051844374,39.605319997635796
274.0,472103.96,4384161.00999999,2.675051002484631,39.606739004442346
279.0,470992.973999999,4384248.012,2.662106000466237,39.6074860004336
280.0,479044.012999999,4375195.036,2.756175003264695,39.52614999791831
281.0,479177.033999999,4375441.058,2.757714998975552,39.52837000478861
282.0,480477.004,4376892.97699999,2.772798003050237,39.54148299835284
283.0,480725.016,4376832.98,2.775686001855921,39.54094800426655
285.0,471455.016999999,4382440.018,2.667566001933815,39.59121100524549
286.0,480500.990999999,4376898.02199999,2.7730770055155496,39.54152900135732
287.0,470741.784884132,4382059.48573294,2.6592766536452093,39.58775824191484
289.0,470563.601060826,4381693.0466376,2.657217936774053,39.58445041812344
295.0,470294.961,4380748.99899999,2.6541320027873487,39.57593500324589
296.0,470681.676072978,4381202.52365047,2.658614564027314,39.5800347099172
297.0,470888.028999999,4381483.00899999,2.6610050057286894,39.582569000023206
298.0,471030.043,4381726.973,2.6626480057102264,39.58477199988883
299.0,471103.02,4381929.024,2.6634889953594025,39.58659500243181
300.0,480275.984999999,4376846.98599999,2.770459994823463,39.54106400280845
302.0,479164.0,4375420.006,2.757564003191521,39.52818000047358
307.0,472464.976,4384022.98,2.679261998584676,39.6055070013032
308.0,467894.716310252,4380706.08293606,2.626187580340242,39.575461782108896
309.0,472541.025,4383464.014,2.6801710006779182,39.60047300281432
310.0,472291.974999999,4383350.035,2.6772749949347916,39.59943799891173
311.0,472286.978999999,4383202.0,2.677222997021313,39.598103999809055
312.0,472429.016,4383113.03699999,2.6788809966603546,39.59730700134504
313.0,478911.025,4373449.984,2.7546830052087974,39.510423003218506
314.0,472579.000999999,4383206.06199999,2.6806239956030273,39.59814999803779
315.0,472578.974999999,4383560.99,2.680609004073694,39.60134799998937
316.0,472459.989999999,4384069.05599999,2.679202004992417,39.60592199841562
322.0,471083.978999999,4381934.97699999,2.663267003144323,39.586647998361556
323.0,471013.016999999,4381721.04399999,2.6624500022145616,39.58471800211247
324.0,470893.996999999,4381517.059,2.6610730046149977,39.58287600326664
325.0,470588.004,4381109.01999999,2.657528001946735,39.579189004985615
328.0,469384.983999999,4381008.03799999,2.6435250001388497,39.57823700257764
329.0,469039.032999999,4381177.00299999,2.6394890045639765,39.57974699823433
330.0,468925.627139046,4381408.14529797,2.638157695877809,39.58182555001319
331.0,468762.023999999,4381656.018,2.6362409957546076,39.58405300257567
332.0,468581.031,4381707.02799999,2.63413099739975,39.58450599965375
333.0,468253.994999999,4381619.023,2.6303270013798974,39.58370099883262
334.0,467971.961999999,4381988.99,2.6270250034810365,39.58702400267675
335.0,467736.041,4382290.963,2.624263000165983,39.58973600423402
336.0,467587.039999999,4382512.00299999,2.6225170034851883,39.591722004845344
337.0,467322.993,4382713.99799999,2.6194320036588032,39.59353199754053
338.0,467115.000999999,4382849.06199999,2.617003004287543,39.59474099687962
339.0,467093.041,4383136.052,2.6167330007001475,39.597325999512165
341.0,467068.984999999,4383555.012,2.6164320045179243,39.60109999877883
342.0,467145.996999999,4383817.053,2.617315997487771,39.603464003753345
343.0,466942.957999999,4383838.008,2.614949999996712,39.603644999458545
344.0,466943.967999999,4383652.99199999,2.614970996041115,39.6019780040243
346.0,467077.96,4383123.01999999,2.6165580035920346,39.59720799872033
347.0,467112.016999999,4382833.98099999,2.6169690000617565,39.59460499901014
348.0,467344.034999999,4382695.042,2.619677995138038,39.593362001844305
349.0,467500.023999999,4382586.06199999,2.621500000194893,39.59238599780858
350.0,467750.992,4382252.05599999,2.624439004498978,39.5893860053804
351.0,467956.973999999,4381978.065,2.6268509957247845,39.58692500530041
352.0,468248.007999999,4381604.065,2.6302580021013693,39.58356600151081
353.0,468431.983,4381442.04999999,2.6324080043120257,39.58211299982166
354.0,468701.031,4381206.001,2.635551998855445,39.57999600191871
355.0,478672.978999999,4373792.01599999,2.7519030038756025,39.51349899927842
356.0,468957.003688814,4381027.28152118,2.638540876556529,39.57839499891556
357.0,469198.969139426,4380883.51404599,2.6413649030517448,39.577108342277604
360.0,470427.979999999,4380340.06699999,2.6556989993153044,39.57225500114909
361.0,470150.978999999,4381050.98699999,2.65244200081478,39.57865100274294
362.0,470159.007999999,4381284.023,2.6525250029710943,39.580751004575816
363.0,470201.136966693,4381571.20599139,2.653002649069438,39.58334007188527
364.0,470212.872910979,4381896.78949818,2.6531246816524097,39.58627407975381
366.0,476661.967,4375820.02699999,2.7284380014901575,39.531720004197574
367.0,478462.007999999,4374310.997,2.7494320028386072,39.51816999903882
368.0,470394.017999999,4383981.03799999,2.6551409951666027,39.60505999732348
369.0,470391.625232806,4384314.44458597,2.6550982202517033,39.60806399197869
370.0,470317.974999999,4384611.058,2.654227004809691,39.610734002107456
371.0,470345.041,4385109.05399999,2.6545199944329876,39.61522200427237
372.0,470402.992,4385447.002,2.655180002940678,39.61826900122176
373.0,470395.453871373,4385659.9759104,2.6550826564345145,39.62018768494951
374.0,470385.957999999,4385816.98,2.6549649989289748,39.621601999340896
376.0,470376.992,4385829.001,2.654859999272697,39.621710001002796
377.0,470384.778981982,4385652.89251163,2.654958604225677,39.620123492583915
378.0,470363.012999999,4385363.029,2.6547179949282085,39.61751100148495
379.0,470330.973999999,4385067.04399999,2.6543579993581607,39.61484299673389
380.0,470337.011999999,4384472.03199999,2.654454994801563,39.60948200343113
381.0,470396.474045671,4384332.04607515,2.655153915355375,39.60822275344584
382.0,470369.005999999,4383951.058,2.6548509942126866,39.604789004794135
383.0,470321.017999999,4382880.019,2.6543400032419076,39.59513700141439
384.0,476664.16499515,4375807.34370221,2.7284640223394883,39.531605781966455
385.0,470126.992,4382109.98099999,2.652114997675355,39.58819200508566
386.0,470000.03,4381922.02099999,2.650644997233228,39.5864939974829
387.0,470097.038999999,4381582.03299999,2.6517899973588013,39.58343400035569
388.0,470146.744051562,4381294.84201621,2.652381714357714,39.580848059957304
389.0,470132.994,4381064.042,2.6522320016487653,39.57876800561103
390.0,470204.971,4380821.041,2.6530809943893643,39.57658099994168
391.0,478621.992,4374721.96399999,2.7512799958836984,39.52187699948728
392.0,471985.983999999,4380843.00999999,2.6738170009396787,39.576839003147015
393.0,471579.965508143,4380727.85263191,2.6690945056319215,39.575788033944285
394.0,471714.021999999,4380314.053,2.670672995705378,39.57206400197112
395.0,471605.96,4380240.978,2.6694180019711897,39.571402000768735
396.0,479927.979999999,4375757.03699999,2.7664430005680125,39.53123500354815
397.0,478997.198612171,4375167.80115341,2.7556311779765923,39.525903455734024
398.0,469655.036,4384619.963,2.646503998625579,39.61079099841467
399.0,480300.036,4376877.001,2.7707389985934867,39.54133500369997
400.0,470789.961999999,4380054.01599999,2.6599260043216715,39.56969000193746
